CountryName,CountryCode,IndicatorName,IndicatorCode,Years,Val
American Samoa,ASM,Income share held by third 20%,SI.DST.03RD.20,2015,
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,
American Samoa,ASM,"Population, total",SP.POP.TOTL,2015,55812.0
American Samoa,ASM,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
American Samoa,ASM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
American Samoa,ASM,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
American Samoa,ASM,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
American Samoa,ASM,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
American Samoa,ASM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,
American Samoa,ASM,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Andorra,AND,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,98.66561
Andorra,AND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,39.34573329
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,
Andorra,AND,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Andorra,AND,Income share held by highest 20%,SI.DST.05TH.20,2015,
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Andorra,AND,Income share held by second 20%,SI.DST.02ND.20,2015,
Andorra,AND,Income share held by third 20%,SI.DST.03RD.20,2015,
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,91.44351438
Andorra,AND,"Population, total",SP.POP.TOTL,2015,78011.0
Andorra,AND,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Andorra,AND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Andorra,AND,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Andorra,AND,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Andorra,AND,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Andorra,AND,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,
Andorra,AND,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Angola,AGO,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,
Angola,AGO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.550742009
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,4520.0
Angola,AGO,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Angola,AGO,Income share held by highest 20%,SI.DST.05TH.20,2015,
Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Angola,AGO,Income share held by second 20%,SI.DST.02ND.20,2015,
Angola,AGO,Income share held by third 20%,SI.DST.03RD.20,2015,
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,49.79322295
Angola,AGO,"Population, total",SP.POP.TOTL,2015,27884381.0
Angola,AGO,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Angola,AGO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Angola,AGO,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Angola,AGO,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Angola,AGO,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,7.27899980545044
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Angola,AGO,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,16.9340000152588
Angola,AGO,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Antigua and Barbuda,ATG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,
Antigua and Barbuda,ATG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,10.68764295
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,13240.0
Antigua and Barbuda,ATG,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Antigua and Barbuda,ATG,Income share held by highest 20%,SI.DST.05TH.20,2015,
Antigua and Barbuda,ATG,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Antigua and Barbuda,ATG,Income share held by second 20%,SI.DST.02ND.20,2015,
Antigua and Barbuda,ATG,Income share held by third 20%,SI.DST.03RD.20,2015,
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,188.1025159
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2015,93566.0
Antigua and Barbuda,ATG,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Antigua and Barbuda,ATG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Antigua and Barbuda,ATG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Antigua and Barbuda,ATG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Antigua and Barbuda,ATG,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Antigua and Barbuda,ATG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,
Antigua and Barbuda,ATG,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Argentina,ARG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,89.22708
Argentina,ARG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,15.91589272
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,12600.0
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,2015,
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,2015,
Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,2015,
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,143.566834
Argentina,ARG,"Population, total",SP.POP.TOTL,2015,43131966.0
Argentina,ARG,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Argentina,ARG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Argentina,ARG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Argentina,ARG,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,7.64300012588501
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Argentina,ARG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,20.4689998626709
Argentina,ARG,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Armenia,ARM,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,100.0
Armenia,ARM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,9.786833463999999
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,4020.0
Armenia,ARM,Income share held by fourth 20%,SI.DST.04TH.20,2015,21.8
Armenia,ARM,Income share held by highest 20%,SI.DST.05TH.20,2015,40.7
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,2015,8.2
Armenia,ARM,Income share held by second 20%,SI.DST.02ND.20,2015,12.6
Armenia,ARM,Income share held by third 20%,SI.DST.03RD.20,2015,16.7
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,118.4217138
Armenia,ARM,"Population, total",SP.POP.TOTL,2015,2925553.0
Armenia,ARM,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Armenia,ARM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,29.8
Armenia,ARM,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,17.5289001464844
Armenia,ARM,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,15.2435998916626
Armenia,ARM,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,18.8349990844727
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,18.260999679565398
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Armenia,ARM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,31.966999053955103
Armenia,ARM,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Aruba,ABW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,100.0
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,18.20952454
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,23780.0
Aruba,ABW,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Aruba,ABW,Income share held by highest 20%,SI.DST.05TH.20,2015,
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Aruba,ABW,Income share held by second 20%,SI.DST.02ND.20,2015,
Aruba,ABW,Income share held by third 20%,SI.DST.03RD.20,2015,
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,135.13384
Aruba,ABW,"Population, total",SP.POP.TOTL,2015,104341.0
Aruba,ABW,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Aruba,ABW,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Aruba,ABW,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Aruba,ABW,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Aruba,ABW,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Aruba,ABW,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,
Aruba,ABW,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Australia,AUS,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,92.33827
Australia,AUS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,28.53023892
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,60560.0
Australia,AUS,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Australia,AUS,Income share held by highest 20%,SI.DST.05TH.20,2015,
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Australia,AUS,Income share held by second 20%,SI.DST.02ND.20,2015,
Australia,AUS,Income share held by third 20%,SI.DST.03RD.20,2015,
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,107.67783490000002
Australia,AUS,"Population, total",SP.POP.TOTL,2015,23815995.0
Australia,AUS,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Australia,AUS,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Australia,AUS,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Australia,AUS,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,6.0560002326965305
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,6.05420017242432
Australia,AUS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,13.112999916076697
Australia,AUS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,13.110199928283699
Austria,AUT,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,94.51021
Austria,AUT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,28.293538399999996
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,47490.0
Austria,AUT,Income share held by fourth 20%,SI.DST.04TH.20,2015,22.9
Austria,AUT,Income share held by highest 20%,SI.DST.05TH.20,2015,38.4
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,2015,7.9
Austria,AUT,Income share held by second 20%,SI.DST.02ND.20,2015,13.2
Austria,AUT,Income share held by third 20%,SI.DST.03RD.20,2015,17.6
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,155.2154711
Austria,AUT,"Population, total",SP.POP.TOTL,2015,8642699.0
Austria,AUT,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Austria,AUT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Austria,AUT,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,3.8731999397277797
Austria,AUT,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,11.0478000640869
Austria,AUT,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,5.43669986724854
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,5.72300004959106
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,5.72270011901855
Austria,AUT,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,10.5600004196167
Austria,AUT,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,10.5866003036499
Azerbaijan,AZE,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,97.81659
Azerbaijan,AZE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,19.73923241
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,6570.0
Azerbaijan,AZE,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Azerbaijan,AZE,Income share held by highest 20%,SI.DST.05TH.20,2015,
Azerbaijan,AZE,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Azerbaijan,AZE,Income share held by second 20%,SI.DST.02ND.20,2015,
Azerbaijan,AZE,Income share held by third 20%,SI.DST.03RD.20,2015,
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,111.16507820000001
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,2015,9649341.0
Azerbaijan,AZE,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Azerbaijan,AZE,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Azerbaijan,AZE,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Azerbaijan,AZE,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Azerbaijan,AZE,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,4.96000003814697
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,4.96000003814697
Azerbaijan,AZE,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,13.312000274658198
Azerbaijan,AZE,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,13.4200000762939
"Bahamas, The",BHS,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,
"Bahamas, The",BHS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,21.65064163
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,28860.0
"Bahamas, The",BHS,Income share held by fourth 20%,SI.DST.04TH.20,2015,
"Bahamas, The",BHS,Income share held by highest 20%,SI.DST.05TH.20,2015,
"Bahamas, The",BHS,Income share held by lowest 20%,SI.DST.FRST.20,2015,
"Bahamas, The",BHS,Income share held by second 20%,SI.DST.02ND.20,2015,
"Bahamas, The",BHS,Income share held by third 20%,SI.DST.03RD.20,2015,
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,83.15606912
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,2015,374206.0
"Bahamas, The",BHS,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
"Bahamas, The",BHS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
"Bahamas, The",BHS,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
"Bahamas, The",BHS,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
"Bahamas, The",BHS,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,12.0
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,12.0
"Bahamas, The",BHS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,25.6030006408691
"Bahamas, The",BHS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Bahrain,BHR,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,
Bahrain,BHR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,18.44522474
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,22660.0
Bahrain,BHR,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Bahrain,BHR,Income share held by highest 20%,SI.DST.05TH.20,2015,
Bahrain,BHR,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Bahrain,BHR,Income share held by second 20%,SI.DST.02ND.20,2015,
Bahrain,BHR,Income share held by third 20%,SI.DST.03RD.20,2015,
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,183.62453359999998
Bahrain,BHR,"Population, total",SP.POP.TOTL,2015,1371851.0
Bahrain,BHR,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Bahrain,BHR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Bahrain,BHR,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Bahrain,BHR,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Bahrain,BHR,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,1.07599997520447
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
